일시,일조합(hr),일조율(%),일사합(MJ/m2)
2024-12-30,5,50,10.26
2024-12-31,8.9,89,12.7
2025-01-01,6.5,65,11.56
2025-01-02,7.1,71,11.16
2025-01-03,9.1,91,12.86
2025-01-04,8.4,84,12.24
2025-01-05,0,0,3.02
2025-01-06,5.4,53.5,9.1
2025-01-07,5.5,54.5,9.88
2025-01-08,3.1,30.7,6.29
2025-01-09,5.8,57.4,10.25
2025-01-10,5.9,58.4,11.9
2025-01-11,4,39.6,9.2
2025-01-12,7.6,75.2,10.59
2025-01-13,7.7,75.5,11.34
2025-01-14,8.3,81.4,11.29
2025-01-15,5.4,52.9,11.41
2025-01-16,7.5,73.5,13.48
2025-01-17,7.8,76.5,12.66
2025-01-18,3.2,31.1,8.58
2025-01-19,9.3,90.3,14.07
2025-01-20,8.8,85.4,12.71
2025-01-21,9.4,91.3,13.55
2025-01-22,4.7,45.2,9.16
2025-01-23,8.1,77.9,13.27
2025-01-24,6.1,58.7,11.52
2025-01-25,7.9,76,13.25
2025-01-26,0.5,4.8,6.51
2025-01-27,5.9,56.2,11.75
2025-01-28,1.5,14.3,6.87
2025-01-29,7,66.7,12.49
2025-01-30,9.8,92.5,15.63
2025-01-31,0.6,5.7,4.92
2025-02-01,0,0,2.5
2025-02-02,5.5,51.9,12.27
2025-02-03,7,65.4,13.24
2025-02-04,6.9,64.5,14.13
2025-02-05,4.3,40.2,10.83
2025-02-06,6,56.1,13.4
2025-02-07,4,37,9.53
2025-02-08,2.9,26.9,9.22
2025-02-09,6.2,57.4,14.52
2025-02-10,9.7,89,16.24
2025-02-11,9.6,88.1,16.79
2025-02-12,3.5,32.1,9.87
2025-02-13,10,90.9,18.09
2025-02-14,5.8,52.7,13.14
2025-02-15,0,0,1.96
2025-02-16,8.8,80,17.02
2025-02-17,8.7,78.4,17.71
2025-02-18,9.9,89.2,18.39
2025-02-19,9.3,83.8,18.24
2025-02-20,9.3,83,17.12
2025-02-21,9.3,83,18.27
2025-02-22,8.5,75.2,16.04
2025-02-23,7.3,64.6,15.51
2025-02-24,9.9,87.6,20.04
2025-02-25,4.2,37.2,11.95
2025-02-26,10.4,91.2,18.82
2025-02-27,1.3,11.4,5.35
2025-02-28,6.8,59.1,16.91
2025-03-01,0,0,1.68
2025-03-02,0.2,1.7,2.8
2025-03-03,0,0,3.06
2025-03-04,1.1,9.5,6.11
2025-03-05,0.2,1.7,4.98
2025-03-06,8.3,70.9,19.4
2025-03-07,6.6,56.4,16.76
2025-03-08,0.8,6.8,7.15
2025-03-09,10,84.7,20.06
2025-03-10,0,0,4.4
2025-03-11,0.3,2.5,7.43
2025-03-12,0.6,5,5.25
2025-03-13,1.7,14.3,10.2
2025-03-14,3.8,31.9,15.28
2025-03-15,0,0,4.82
2025-03-16,9,75,20.31
2025-03-17,10.7,89.2,23.21
2025-03-18,8.5,70.2,19.9
2025-03-19,10,82.6,23.74
2025-03-20,10.6,87.6,22.8
2025-03-21,10.4,85.2,22.3
2025-03-22,10.9,89.3,23.33
2025-03-23,10.3,84.4,22.64
2025-03-24,10.1,82.1,21.34
2025-03-25,10,81.3,21.22
2025-03-26,3.4,27.6,16.37
2025-03-27,0.2,1.6,3.97
2025-03-28,4.4,35.5,15.84
2025-03-29,2.5,20.2,12.83
2025-03-30,9.6,76.8,21.23
2025-03-31,8.4,67.2,22.05
2025-04-01,7.2,57.6,21.76
2025-04-02,10.7,84.9,24.63
2025-04-03,10,79.4,23.28
2025-04-04,7.3,57.9,20.45
2025-04-05,2.5,19.7,10.51
2025-04-06,10.8,85,25.95
2025-04-07,10.8,85,25.13
2025-04-08,10.3,80.5,24.44
2025-04-09,7.6,59.4,19.11
2025-04-10,7,54.3,20.68
